   1  0.00  0.00  0.00  0.00  0.58  1.33  2.33  3.33  4.33  5.33  6.33  7.33
   2  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00
   3  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00
   4  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00
   5  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
   6  0.00  0.79  1.54  2.54  3.54 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   7  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00
   8 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   9 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
  10  0.00  0.00  1.00  1.17  2.06  3.06  3.52 -9999 -9999 -9999 -9999 -9999
  11  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  4.00  5.00
  12  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  4.00  5.00  6.00  7.00
  13 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
  14 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
  15 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
  16  0.00  0.00  1.00 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
  17  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00 -9999 -9999 -9999
  18  0.00  0.00  0.92  1.92  2.92  3.92  4.52  5.29 -9999 -9999 -9999 -9999
  19  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
  20  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.77  1.77 -9999
  21  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.96  1.96  2.96  3.96  4.96
  22  0.00  0.00  0.00  0.00  0.00  0.92  1.92  2.92  3.92  4.92  5.92  6.92
  23  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  4.00
  24  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.92  1.77  2.71
  25  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  4.00  5.00  6.00
  26  0.00  0.00  1.00  2.00  3.00  4.00  5.00  6.00  7.00  8.00  9.00 10.00
  27  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  4.00  5.00  6.00  7.00
  28  0.00  0.00  0.00  0.00  0.00  1.00  1.90  2.90 -9999 -9999 -9999 -9999
  29  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  4.00  5.00 -9999
  30  0.00  0.00  0.00  0.00 -9999  0.00  0.00  0.00  1.00  2.00  3.00  4.00
  31  0.00  0.00  0.87  1.56  2.38  3.15  4.15  4.92  5.85  6.85  7.85  8.85
  32  0.00  0.00  0.00  0.00  0.77  1.77  2.77  3.77 -9999 -9999 -9999 -9999
  33  0.00  0.00  0.00  1.00  2.00  3.00  4.00  5.00  6.00  7.00  8.00  9.00
  34  0.00  0.00  0.88  1.88  2.87  3.87  4.87  5.85  6.85  7.85  8.85  9.81
  35  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  4.00  5.00  6.00  7.00
  36  0.00  0.00  1.00  2.00  3.00  4.00  5.00  6.00  7.00 -9999 -9999 -9999
  37  0.00 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
  38  0.92  1.92  2.92  3.92  4.92  5.92  6.92  7.92  8.92  9.92 10.92 11.92
  39  0.00  0.00  0.00  0.00  0.96  1.92  2.88  3.88  4.88  5.81  6.81  7.81
  40  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.96  1.94  2.94  3.94  4.94
  41  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.85
  42  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00
  43  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00
  44  0.00  0.00  0.00  0.00  0.00  1.00  0.00  0.00  0.00  1.00  2.00  3.00
  45 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
  46  0.79  1.79  2.73  3.63  4.38  5.33 -9999 -9999 -9999 -9999 -9999 -9999
  47  0.00  0.00  0.83  1.83  2.83  3.83  4.77  5.77  6.77  7.77  8.71  9.58
  48  0.00  0.00  0.00  0.00  0.00  0.00  0.96  1.96  2.96  3.96  4.96  5.96
  49  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00 -9999 -9999
  50  0.00  1.00  0.00  0.00  0.27  1.27  2.27  3.27  4.27  5.27  6.27  7.27
  51  0.00  0.00  0.00  0.00  0.96  1.12  2.02  2.81  3.81  4.81  5.81  6.77
  52  0.00  0.00  0.00  0.00  0.00  0.00  1.00  2.00  3.00  3.94  4.94  5.94
  53  0.00  0.00  0.00  0.90  1.90  2.90  3.90  4.90  5.90  6.90  7.83 -9999
